Variable,B4-A-Muy difícil-Recuento,B4-A-Muy difícil-% del N de fila,B4-A-Muy difícil-% de N columnas,B4-A-Difícil-Recuento,B4-A-Difícil-% del N de fila,B4-A-Difícil-% de N columnas,B4-A-Poco difícil-Recuento,B4-A-Poco difícil-% del N de fila,B4-A-Poco difícil-% de N columnas,B4-A-Nada difícil-Recuento,B4-A-Nada difícil-% del N de fila,B4-A-Nada difícil-% de N columnas,B4-B-Muy difícil-Recuento,B4-B-Muy difícil-% del N de fila,B4-B-Muy difícil-% de N columnas,B4-B-Difícil-Recuento,B4-B-Difícil-% del N de fila,B4-B-Difícil-% de N columnas,B4-B-Poco difícil-Recuento,B4-B-Poco difícil-% del N de fila,B4-B-Poco difícil-% de N columnas,B4-B-Nada difícil-Recuento,B4-B-Nada difícil-% del N de fila,B4-B-Nada difícil-% de N columnas,B4-C-Muy difícil-Recuento,B4-C-Muy difícil-% del N de fila,B4-C-Muy difícil-% de N columnas,B4-C-Difícil-Recuento,B4-C-Difícil-% del N de fila,B4-C-Difícil-% de N columnas,B4-C-Poco difícil-Recuento,B4-C-Poco difícil-% del N de fila,B4-C-Poco difícil-% de N columnas,B4-C-Nada difícil-Recuento,B4-C-Nada difícil-% del N de fila,B4-C-Nada difícil-% de N columnas,B4-D-Muy difícil-Recuento,B4-D-Muy difícil-% del N de fila,B4-D-Muy difícil-% de N columnas,B4-D-Difícil-Recuento,B4-D-Difícil-% del N de fila,B4-D-Difícil-% de N columnas,B4-D-Poco difícil-Recuento,B4-D-Poco difícil-% del N de fila,B4-D-Poco difícil-% de N columnas,B4-D-Nada difícil-Recuento,B4-D-Nada difícil-% del N de fila,B4-D-Nada difícil-% de N columnas,B4-E-Muy difícil-Recuento,B4-E-Muy difícil-% del N de fila,B4-E-Muy difícil-% de N columnas,B4-E-Difícil-Recuento,B4-E-Difícil-% del N de fila,B4-E-Difícil-% de N columnas,B4-E-Poco difícil-Recuento,B4-E-Poco difícil-% del N de fila,B4-E-Poco difícil-% de N columnas,B4-E-Nada difícil-Recuento,B4-E-Nada difícil-% del N de fila,B4-E-Nada difícil-% de N columnas,B4-F-Muy difícil-Recuento,B4-F-Muy difícil-% del N de fila,B4-F-Muy difícil-% de N columnas,B4-F-Difícil-Recuento,B4-F-Difícil-% del N de fila,B4-F-Difícil-% de N columnas,B4-F-Poco difícil-Recuento,B4-F-Poco difícil-% del N de fila,B4-F-Poco difícil-% de N columnas,B4-F-Nada difícil-Recuento,B4-F-Nada difícil-% del N de fila,B4-F-Nada difícil-% de N columnas,B4-G-Muy difícil-Recuento,B4-G-Muy difícil-% del N de fila,B4-G-Muy difícil-% de N columnas,B4-G-Difícil-Recuento,B4-G-Difícil-% del N de fila,B4-G-Difícil-% de N columnas,B4-G-Poco difícil-Recuento,B4-G-Poco difícil-% del N de fila,B4-G-Poco difícil-% de N columnas,B4-G-Nada difícil-Recuento,B4-G-Nada difícil-% del N de fila,B4-G-Nada difícil-% de N columnas,B4-H-Muy difícil-Recuento,B4-H-Muy difícil-% del N de fila,B4-H-Muy difícil-% de N columnas,B4-H-Difícil-Recuento,B4-H-Difícil-% del N de fila,B4-H-Difícil-% de N columnas,B4-H-Poco difícil-Recuento,B4-H-Poco difícil-% del N de fila,B4-H-Poco difícil-% de N columnas,B4-H-Nada difícil-Recuento,B4-H-Nada difícil-% del N de fila,B4-H-Nada difícil-% de N columnas,B4-I-Muy difícil-Recuento,B4-I-Muy difícil-% del N de fila,B4-I-Muy difícil-% de N columnas,B4-I-Difícil-Recuento,B4-I-Difícil-% del N de fila,B4-I-Difícil-% de N columnas,B4-I-Poco difícil-Recuento,B4-I-Poco difícil-% del N de fila,B4-I-Poco difícil-% de N columnas,B4-I-Nada difícil-Recuento,B4-I-Nada difícil-% del N de fila,B4-I-Nada difícil-% de N columnas,B4-J-Muy difícil-Recuento,B4-J-Muy difícil-% del N de fila,B4-J-Muy difícil-% de N columnas,B4-J-Difícil-Recuento,B4-J-Difícil-% del N de fila,B4-J-Difícil-% de N columnas,B4-J-Poco difícil-Recuento,B4-J-Poco difícil-% del N de fila,B4-J-Poco difícil-% de N columnas,B4-J-Nada difícil-Recuento,B4-J-Nada difícil-% del N de fila,B4-J-Nada difícil-% de N columnas,B4-K-Muy difícil-Recuento,B4-K-Muy difícil-% del N de fila,B4-K-Muy difícil-% de N columnas,B4-K-Difícil-Recuento,B4-K-Difícil-% del N de fila,B4-K-Difícil-% de N columnas,B4-K-Poco difícil-Recuento,B4-K-Poco difícil-% del N de fila,B4-K-Poco difícil-% de N columnas,B4-K-Nada difícil-Recuento,B4-K-Nada difícil-% del N de fila,B4-K-Nada difícil-% de N columnas
HIDALGO,23,0.07,0.029,122,0.371,0.027,156,0.474,0.029,28,0.085,0.035,17,0.052,0.021,100,0.304,0.027,166,0.505,0.03,46,0.14,0.033,56,0.17,0.023,127,0.386,0.026,125,0.38,0.036,21,0.064,0.039,14,0.043,0.032,70,0.213,0.026,188,0.571,0.029,57,0.173,0.032,48,0.146,0.023,131,0.398,0.029,135,0.41,0.032,15,0.046,0.024,13,0.04,0.022,83,0.252,0.028,187,0.568,0.03,46,0.14,0.028,14,0.043,0.025,117,0.356,0.028,180,0.547,0.03,18,0.055,0.024,26,0.079,0.02,112,0.34,0.026,153,0.465,0.032,38,0.116,0.038,14,0.043,0.021,95,0.289,0.027,178,0.541,0.03,42,0.128,0.031,11,0.033,0.021,87,0.264,0.029,187,0.568,0.029,44,0.134,0.031,13,0.04,0.022,81,0.246,0.024,194,0.59,0.031,41,0.125,0.033
JALISCO,17,0.072,0.021,114,0.485,0.025,89,0.379,0.017,15,0.064,0.019,22,0.094,0.027,87,0.37,0.024,103,0.438,0.019,23,0.098,0.016,60,0.255,0.025,112,0.477,0.023,53,0.226,0.015,10,0.043,0.019,11,0.047,0.025,70,0.298,0.026,129,0.549,0.02,25,0.106,0.014,63,0.268,0.031,102,0.434,0.022,63,0.268,0.015,7,0.03,0.011,14,0.06,0.023,88,0.374,0.029,109,0.464,0.018,24,0.102,0.015,8,0.034,0.014,106,0.451,0.026,106,0.451,0.018,15,0.064,0.02,48,0.204,0.037,100,0.426,0.023,76,0.323,0.016,11,0.047,0.011,13,0.055,0.02,98,0.417,0.028,102,0.434,0.017,22,0.094,0.016,8,0.034,0.015,65,0.277,0.021,137,0.583,0.021,25,0.106,0.018,11,0.047,0.019,84,0.357,0.025,118,0.502,0.019,22,0.094,0.018
MICHOACÁN,1,0.027,0.001,12,0.324,0.003,21,0.568,0.004,3,0.081,0.004,0,0,0,10,0.27,0.003,18,0.486,0.003,9,0.243,0.006,6,0.162,0.002,13,0.351,0.003,17,0.459,0.005,1,0.027,0.002,2,0.054,0.005,11,0.297,0.004,16,0.432,0.002,8,0.216,0.005,5,0.135,0.002,10,0.27,0.002,21,0.568,0.005,1,0.027,0.002,0,0,0,6,0.162,0.002,26,0.703,0.004,5,0.135,0.003,2,0.054,0.004,11,0.297,0.003,22,0.595,0.004,2,0.054,0.003,1,0.027,0.001,5,0.135,0.001,20,0.541,0.004,11,0.297,0.011,2,0.054,0.003,9,0.243,0.003,19,0.514,0.003,7,0.189,0.005,2,0.054,0.004,8,0.216,0.003,20,0.541,0.003,7,0.189,0.005,1,0.027,0.002,9,0.243,0.003,24,0.649,0.004,3,0.081,0.002
MORELOS,23,0.064,0.029,120,0.335,0.026,191,0.534,0.036,24,0.067,0.03,23,0.064,0.028,100,0.279,0.027,191,0.534,0.034,44,0.123,0.031,64,0.179,0.026,156,0.436,0.031,113,0.316,0.032,25,0.07,0.047,10,0.028,0.023,65,0.182,0.024,220,0.615,0.034,63,0.176,0.036,45,0.126,0.022,154,0.43,0.034,137,0.383,0.033,22,0.061,0.036,11,0.031,0.018,79,0.221,0.026,210,0.587,0.034,58,0.162,0.036,17,0.047,0.03,114,0.318,0.028,194,0.542,0.032,33,0.092,0.043,30,0.084,0.023,127,0.355,0.03,154,0.43,0.032,47,0.131,0.047,17,0.047,0.026,89,0.249,0.025,196,0.547,0.033,56,0.156,0.042,13,0.036,0.025,91,0.254,0.03,203,0.567,0.031,51,0.142,0.036,17,0.047,0.029,108,0.302,0.032,189,0.528,0.03,44,0.123,0.035
NAYARIT,19,0.043,0.024,149,0.333,0.033,240,0.537,0.045,39,0.087,0.049,23,0.051,0.028,128,0.286,0.035,222,0.497,0.04,74,0.166,0.053,84,0.188,0.034,195,0.436,0.039,150,0.336,0.043,18,0.04,0.034,15,0.034,0.034,93,0.208,0.034,272,0.609,0.042,67,0.15,0.038,75,0.168,0.037,175,0.391,0.038,166,0.371,0.039,31,0.069,0.05,15,0.034,0.025,91,0.204,0.03,267,0.597,0.043,74,0.166,0.046,10,0.022,0.018,143,0.32,0.035,265,0.593,0.044,29,0.065,0.038,33,0.074,0.025,134,0.3,0.031,220,0.492,0.045,60,0.134,0.06,18,0.04,0.027,124,0.277,0.035,238,0.532,0.04,67,0.15,0.05,17,0.038,0.032,94,0.21,0.031,271,0.606,0.042,65,0.145,0.046,20,0.045,0.034,105,0.235,0.031,268,0.6,0.043,54,0.121,0.043
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUEBLA,33,0.084,0.041,163,0.416,0.036,182,0.464,0.034,14,0.036,0.017,34,0.087,0.042,119,0.304,0.032,196,0.5,0.035,43,0.11,0.031,80,0.204,0.033,162,0.413,0.033,132,0.337,0.038,18,0.046,0.034,24,0.061,0.054,88,0.224,0.032,225,0.574,0.035,55,0.14,0.031,56,0.143,0.027,145,0.37,0.032,161,0.411,0.038,30,0.077,0.049,18,0.046,0.03,87,0.222,0.029,222,0.566,0.036,65,0.166,0.04,18,0.046,0.032,142,0.362,0.034,207,0.528,0.034,25,0.064,0.033,32,0.082,0.025,109,0.278,0.025,196,0.5,0.041,55,0.14,0.055,30,0.077,0.045,115,0.293,0.033,210,0.536,0.036,37,0.094,0.028,14,0.036,0.027,97,0.247,0.032,228,0.582,0.035,53,0.135,0.038,18,0.046,0.03,113,0.288,0.033,219,0.559,0.035,42,0.107,0.034
QUERÉTARO,46,0.089,0.057,209,0.407,0.046,224,0.436,0.042,35,0.068,0.044,43,0.084,0.053,172,0.335,0.047,233,0.453,0.042,66,0.128,0.047,112,0.218,0.046,247,0.481,0.05,134,0.261,0.038,21,0.041,0.039,21,0.041,0.047,115,0.224,0.042,293,0.57,0.045,85,0.165,0.048,97,0.189,0.047,230,0.447,0.05,171,0.333,0.041,16,0.031,0.026,36,0.07,0.06,149,0.29,0.05,281,0.547,0.045,48,0.093,0.03,26,0.051,0.046,209,0.407,0.051,251,0.488,0.042,28,0.054,0.037,71,0.138,0.054,224,0.436,0.052,186,0.362,0.038,33,0.064,0.033,36,0.07,0.054,166,0.323,0.047,258,0.502,0.044,54,0.105,0.04,23,0.045,0.044,135,0.263,0.044,308,0.599,0.048,48,0.093,0.034,25,0.049,0.042,154,0.3,0.045,295,0.574,0.047,40,0.078,0.032
QUINTANA ROO,28,0.06,0.035,174,0.374,0.038,235,0.505,0.044,28,0.06,0.035,26,0.056,0.032,125,0.269,0.034,262,0.563,0.047,52,0.112,0.037,84,0.181,0.034,196,0.422,0.04,159,0.342,0.045,26,0.056,0.049,11,0.024,0.025,89,0.191,0.033,291,0.626,0.045,74,0.159,0.042,84,0.181,0.041,182,0.391,0.04,180,0.387,0.043,19,0.041,0.031,19,0.041,0.032,100,0.215,0.033,275,0.591,0.044,71,0.153,0.044,16,0.034,0.028,139,0.299,0.034,274,0.589,0.046,36,0.077,0.047,38,0.082,0.029,178,0.383,0.041,205,0.441,0.042,44,0.095,0.044,19,0.041,0.029,133,0.286,0.038,244,0.525,0.041,69,0.148,0.051,19,0.041,0.036,107,0.23,0.035,265,0.57,0.041,74,0.159,0.053,21,0.045,0.036,123,0.265,0.036,256,0.551,0.041,65,0.14,0.052
SAN LUIS POTOSÍ,13,0.034,0.016,157,0.411,0.035,189,0.495,0.036,23,0.06,0.029,27,0.071,0.033,129,0.338,0.035,172,0.45,0.031,54,0.141,0.038,61,0.16,0.025,158,0.414,0.032,137,0.359,0.039,26,0.068,0.049,9,0.024,0.02,93,0.243,0.034,213,0.558,0.033,67,0.175,0.038,60,0.157,0.029,148,0.387,0.032,151,0.395,0.036,23,0.06,0.037,11,0.029,0.018,101,0.264,0.034,214,0.56,0.034,56,0.147,0.035,11,0.029,0.02,147,0.385,0.036,196,0.513,0.033,28,0.073,0.037,30,0.079,0.023,148,0.387,0.034,166,0.435,0.034,38,0.099,0.038,13,0.034,0.02,117,0.306,0.033,206,0.539,0.035,46,0.12,0.034,11,0.029,0.021,107,0.28,0.035,215,0.563,0.033,49,0.128,0.035,14,0.037,0.024,105,0.275,0.031,217,0.568,0.035,46,0.12,0.037
