Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
VERACRUZ,117,0.983,0.022,1,0.008,0.02,1,0.008,0.083,113,0.95,0.022,6,0.05,0.083,0,0,0,103,0.866,0.021,15,0.126,0.047,1,0.008,0.012,73,0.613,0.021,14,0.118,0.025,32,0.269,0.023,93,0.782,0.02,13,0.109,0.04,13,0.109,0.027,96,0.807,0.022,18,0.151,0.025,5,0.042,0.017,72,0.605,0.019,28,0.235,0.027,19,0.16,0.033,72,0.605,0.019,30,0.252,0.028,17,0.143,0.03,66,0.555,0.019,32,0.269,0.03,21,0.176,0.028
YUCATÁN,121,0.968,0.023,3,0.024,0.059,1,0.008,0.083,119,0.952,0.023,5,0.04,0.069,1,0.008,0.025,112,0.896,0.023,11,0.088,0.035,2,0.016,0.024,66,0.528,0.019,18,0.144,0.032,41,0.328,0.03,94,0.752,0.021,13,0.104,0.04,18,0.144,0.037,91,0.728,0.021,22,0.176,0.031,12,0.096,0.04,90,0.72,0.024,22,0.176,0.021,13,0.104,0.023,88,0.704,0.024,24,0.192,0.023,13,0.104,0.023,78,0.624,0.022,24,0.192,0.023,23,0.184,0.03
ZACATECAS,216,0.991,0.041,2,0.009,0.039,0,0,0,215,0.986,0.041,1,0.005,0.014,2,0.009,0.05,199,0.913,0.04,17,0.078,0.054,2,0.009,0.024,130,0.596,0.038,24,0.11,0.043,64,0.294,0.046,188,0.862,0.041,11,0.05,0.034,19,0.087,0.039,182,0.835,0.042,22,0.101,0.031,14,0.064,0.047,169,0.775,0.045,27,0.124,0.026,22,0.101,0.039,167,0.766,0.045,30,0.138,0.028,21,0.096,0.037,154,0.706,0.044,35,0.161,0.033,29,0.133,0.038
Hombre,228,0.987,0.043,3,0.013,0.059,0,0,0,224,0.97,0.043,6,0.026,0.083,1,0.004,0.025,214,0.926,0.043,15,0.065,0.047,2,0.009,0.024,159,0.691,0.047,28,0.122,0.05,43,0.187,0.031,203,0.879,0.045,14,0.061,0.043,14,0.061,0.029,191,0.827,0.044,31,0.134,0.043,9,0.039,0.03,168,0.73,0.045,48,0.209,0.047,14,0.061,0.025,158,0.687,0.043,45,0.196,0.042,27,0.117,0.047,149,0.648,0.042,44,0.191,0.041,37,0.161,0.049
Mujer,5061,0.988,0.957,48,0.009,0.941,12,0.002,1,5016,0.979,0.957,66,0.013,0.917,39,0.008,0.975,4739,0.925,0.957,301,0.059,0.953,81,0.016,0.976,3254,0.635,0.953,529,0.103,0.95,1338,0.261,0.969,4339,0.847,0.955,313,0.061,0.957,469,0.092,0.971,4147,0.81,0.956,686,0.134,0.957,288,0.056,0.97,3588,0.701,0.955,977,0.191,0.953,556,0.109,0.975,3558,0.695,0.957,1019,0.199,0.958,544,0.106,0.953,3380,0.66,0.958,1020,0.199,0.959,721,0.141,0.951
18 a 20 años,33,1,0.006,0,0,0,0,0,0,33,1,0.006,0,0,0,0,0,0,27,0.818,0.005,3,0.091,0.009,3,0.091,0.036,22,0.667,0.006,5,0.152,0.009,6,0.182,0.004,26,0.788,0.006,2,0.061,0.006,5,0.152,0.01,28,0.848,0.006,3,0.091,0.004,2,0.061,0.007,25,0.758,0.007,2,0.061,0.002,6,0.182,0.011,24,0.727,0.006,5,0.152,0.005,4,0.121,0.007,21,0.636,0.006,7,0.212,0.007,5,0.152,0.007
21 a 30 años,1151,0.989,0.218,10,0.009,0.196,3,0.003,0.25,1133,0.973,0.216,22,0.019,0.306,9,0.008,0.225,1080,0.928,0.218,67,0.058,0.212,17,0.015,0.205,799,0.686,0.234,114,0.098,0.205,251,0.216,0.182,982,0.844,0.216,71,0.061,0.217,111,0.095,0.23,937,0.805,0.216,148,0.127,0.206,79,0.068,0.266,777,0.668,0.207,242,0.208,0.236,145,0.125,0.254,761,0.654,0.205,252,0.216,0.237,151,0.13,0.264,754,0.648,0.214,243,0.209,0.228,167,0.143,0.22
31 a 40 años,1849,0.986,0.35,22,0.012,0.431,5,0.003,0.417,1837,0.979,0.351,20,0.011,0.278,19,0.01,0.475,1738,0.926,0.351,110,0.059,0.348,28,0.015,0.337,1195,0.637,0.35,177,0.094,0.318,504,0.269,0.365,1609,0.858,0.354,109,0.058,0.333,158,0.084,0.327,1513,0.807,0.349,265,0.141,0.37,98,0.052,0.33,1308,0.697,0.348,372,0.198,0.363,196,0.104,0.344,1320,0.704,0.355,380,0.203,0.357,176,0.094,0.308,1223,0.652,0.347,392,0.209,0.368,261,0.139,0.344
41 a 50 años,1566,0.989,0.296,13,0.008,0.255,4,0.003,0.333,1556,0.983,0.297,20,0.013,0.278,7,0.004,0.175,1459,0.922,0.295,97,0.061,0.307,27,0.017,0.325,996,0.629,0.292,170,0.107,0.305,417,0.263,0.302,1358,0.858,0.299,91,0.057,0.278,134,0.085,0.277,1295,0.818,0.299,210,0.133,0.293,78,0.049,0.263,1157,0.731,0.308,277,0.175,0.27,149,0.094,0.261,1136,0.718,0.306,293,0.185,0.275,154,0.097,0.27,1066,0.673,0.302,301,0.19,0.283,216,0.136,0.285
51 a 60 años,664,0.991,0.126,6,0.009,0.118,0,0,0,656,0.979,0.125,10,0.015,0.139,4,0.006,0.1,625,0.933,0.126,38,0.057,0.12,7,0.01,0.084,386,0.577,0.113,89,0.133,0.16,194,0.29,0.14,547,0.816,0.12,53,0.079,0.162,70,0.104,0.145,545,0.813,0.126,85,0.127,0.119,40,0.06,0.135,472,0.706,0.126,128,0.191,0.125,69,0.103,0.121,456,0.682,0.123,131,0.196,0.123,82,0.123,0.144,446,0.667,0.126,118,0.176,0.111,105,0.157,0.139
